ID,CeTD_11_HB,CeTD_11_VW,CeTD_11_PO,CeTD_11_PZ,CeTD_11_CH,CeTD_11_SS,CeTD_11_SA,CeTD_12_HB,CeTD_12_VW,CeTD_12_PO,CeTD_12_PZ,CeTD_12_CH,CeTD_12_SS,CeTD_12_SA,CeTD_1-3_HB,CeTD_1-3_VW,CeTD_1-3_PO,CeTD_1-3_PZ,CeTD_1-3_CH,CeTD_1-3_SS,CeTD_1-3_SA,CeTD_21_HB,CeTD_21_VW,CeTD_21_PO,CeTD_21_PZ,CeTD_21_CH,CeTD_21_SS,CeTD_21_SA,CeTD_22_HB,CeTD_22_VW,CeTD_22_PO,CeTD_22_PZ,CeTD_22_CH,CeTD_22_SS,CeTD_22_SA,CeTD_23_HB,CeTD_23_VW,CeTD_23_PO,CeTD_23_PZ,CeTD_23_CH,CeTD_23_SS,CeTD_23_SA,CeTD_31_HB,CeTD_31_VW,CeTD_31_PO,CeTD_31_PZ,CeTD_31_CH,CeTD_31_SS,CeTD_31_SA,CeTD_32_HB,CeTD_32_VW,CeTD_32_PO,CeTD_32_PZ,CeTD_32_CH,CeTD_32_SS,CeTD_32_SA,CeTD_33_HB,CeTD_33_VW,CeTD_33_PO,CeTD_33_PZ,CeTD_33_CH,CeTD_33_SS,CeTD_33_SA
Seq400,3,2,5,3,1,2,5,3,4,4,4,1,5,4,3,0,5,0,4,3,5,2,1,3,5,2,3,4,3,1,4,7,4,0,5,0,0,3,0,3,16,3,0,3,0,4,2,4,4,3,2,3,3,3,5,6,2,5,3,2,2,2,1
Seq401,0,2,1,2,1,5,1,5,2,1,3,4,4,2,1,3,1,0,2,5,1,5,1,2,1,2,0,0,2,2,2,6,3,2,2,0,0,1,0,1,13,2,0,2,0,3,3,2,2,2,2,2,2,1,6,2,2,2,0,1,2,1,3
Seq402,1,1,1,2,3,1,0,2,5,3,1,2,2,5,0,1,1,1,5,2,0,1,3,2,1,1,1,3,1,2,2,5,0,1,1,1,1,2,0,2,11,0,0,0,0,1,1,2,1,4,1,2,1,3,7,2,2,2,1,0,2,0,0
Seq403,4,4,5,3,3,4,5,3,3,3,5,2,4,4,4,3,4,5,3,3,5,4,3,3,5,4,4,1,6,2,5,4,4,3,4,5,1,8,0,6,15,2,1,1,0,8,5,5,7,2,0,3,2,2,10,8,1,8,4,1,2,0,0
Seq404,3,0,3,0,0,0,4,0,2,0,0,1,0,2,3,1,3,2,2,0,4,0,0,0,3,0,3,0,0,1,0,2,3,1,3,2,1,2,1,4,3,0,0,1,0,3,2,1,4,1,0,0,1,0,2,4,0,3,3,0,0,0,0
Seq405,7,2,7,4,1,4,4,6,1,1,4,4,6,0,5,2,7,7,1,6,4,4,1,4,7,2,7,1,4,4,6,0,5,2,7,7,7,9,0,8,12,0,0,0,0,21,5,2,4,0,1,2,1,0,12,8,0,9,7,0,0,0,0
Seq406,4,0,5,3,0,3,2,5,0,0,2,4,5,0,2,0,5,4,0,5,2,3,0,3,5,0,4,0,2,4,5,0,2,0,5,4,4,5,0,5,8,0,0,0,0,11,4,1,3,0,1,1,1,0,8,5,0,5,4,0,0,0,0
Seq407,5,2,5,2,0,2,5,2,0,0,4,1,5,6,3,0,4,0,0,2,5,2,0,2,5,2,5,0,4,1,5,6,3,0,4,0,0,4,0,3,11,2,1,1,1,5,2,4,1,0,2,5,2,2,1,5,2,6,5,1,1,2,0
Seq408,4,5,2,3,4,6,5,4,1,4,9,0,8,4,4,1,3,1,1,4,5,6,4,3,2,5,4,4,9,0,8,4,4,1,3,1,1,3,1,4,19,3,0,3,0,7,7,3,7,1,2,3,2,2,8,6,3,5,4,2,3,2,1
Seq409,0,3,0,3,1,3,0,3,1,1,2,3,2,0,0,3,0,3,2,2,1,3,1,2,0,3,0,1,1,3,2,1,0,2,1,3,0,3,0,3,8,0,0,0,0,2,1,2,2,2,1,2,2,0,4,2,2,2,0,1,2,1,0
Seq410,4,1,4,1,0,1,4,1,1,0,0,2,1,0,1,1,2,10,1,1,4,1,0,1,4,1,4,0,0,1,1,0,2,0,3,10,4,5,0,5,3,0,0,0,0,5,4,1,4,0,1,1,1,0,1,5,1,4,4,1,1,0,0
Seq411,4,3,6,5,2,3,5,4,2,4,7,2,8,8,2,0,3,0,2,4,5,3,2,5,6,3,4,4,6,2,8,9,2,0,3,0,0,2,1,3,16,5,1,5,1,12,2,4,2,0,3,5,3,3,6,8,2,8,4,1,2,2,1
Seq412,4,0,5,4,0,2,1,6,0,0,0,6,0,0,0,6,0,10,0,6,1,2,0,4,5,0,4,0,0,6,0,0,0,6,0,10,4,5,0,5,8,0,0,0,0,8,7,0,7,0,0,0,0,0,8,5,0,5,4,0,0,0,0
Seq413,4,0,6,2,0,1,4,2,5,1,0,3,3,5,3,0,7,2,5,2,4,0,0,2,7,0,4,1,0,3,3,5,3,0,7,2,1,6,0,4,9,2,2,0,0,11,5,1,4,0,1,2,0,0,5,4,2,6,4,0,1,2,0
Seq414,1,1,1,1,5,2,1,3,3,3,2,2,3,2,2,2,2,0,3,4,1,3,3,1,1,1,1,2,2,1,3,3,3,1,3,0,0,1,0,1,16,0,0,0,0,3,3,1,1,3,3,2,2,0,4,2,3,2,1,0,2,0,4
Seq415,1,1,1,1,5,2,1,3,1,3,2,2,3,1,1,2,2,0,1,4,1,3,3,1,1,1,1,2,2,1,3,2,2,1,3,0,0,1,0,1,14,0,0,0,0,2,2,1,1,3,3,2,2,0,2,2,3,2,1,0,2,0,4
Seq416,1,1,1,1,5,2,0,3,0,3,2,2,3,1,0,2,1,0,0,4,0,3,3,1,1,1,1,2,2,1,3,2,1,1,2,0,0,1,0,0,13,0,0,0,0,1,2,1,0,3,3,2,2,0,1,1,3,2,1,0,2,0,4
Seq417,0,1,1,0,1,1,2,0,2,1,2,0,1,2,1,1,0,0,2,0,2,1,1,0,1,1,0,0,2,0,1,3,1,1,0,0,0,0,0,0,6,1,0,1,0,1,1,1,1,0,1,0,2,1,2,1,0,1,0,1,1,1,1
Seq418,0,1,1,0,1,1,2,0,1,1,2,0,1,2,0,1,0,0,1,0,2,1,1,0,1,1,0,0,2,0,1,3,0,1,0,0,0,0,0,0,5,1,0,1,0,1,0,1,1,0,1,0,2,1,1,1,0,1,0,1,1,1,1
Seq419,0,1,2,1,2,1,3,1,3,2,4,0,3,2,1,1,1,0,3,1,3,1,2,1,2,1,0,0,4,0,3,4,1,1,1,0,0,0,0,0,10,2,0,2,0,2,1,1,1,1,3,1,3,1,3,3,1,2,0,1,2,1,1
Seq420,0,1,2,1,2,1,3,1,3,2,2,1,2,1,2,1,3,0,3,1,3,1,2,1,2,1,0,0,2,1,2,3,2,1,3,0,0,1,0,1,10,1,0,1,0,2,2,1,2,1,2,1,2,1,3,3,1,2,0,1,2,1,1
Seq421,1,2,3,1,1,1,4,1,4,1,0,2,2,2,3,1,4,2,5,1,4,0,1,1,4,1,1,0,2,1,2,2,4,1,4,2,1,4,0,4,7,1,0,1,0,7,2,2,2,2,1,1,1,0,5,5,0,3,1,2,1,0,1
Seq422,2,4,1,4,1,1,1,1,4,1,2,2,2,1,1,2,1,6,4,1,2,1,1,3,2,3,2,0,2,2,2,2,1,2,2,6,1,4,0,4,10,0,0,0,0,5,4,1,4,4,0,1,0,0,4,3,1,2,2,3,2,2,0
Seq423,2,2,4,2,0,1,4,1,3,0,0,2,0,0,0,2,0,14,3,1,5,1,0,1,5,1,2,0,1,1,0,0,1,2,0,14,2,6,0,6,5,0,0,0,0,2,5,1,5,3,1,1,1,0,5,5,0,5,2,1,0,1,0
Seq424,3,4,4,4,0,0,5,0,0,0,0,4,0,0,4,4,4,4,0,0,5,0,0,4,4,4,3,0,0,4,0,0,4,4,4,4,3,8,0,9,0,0,0,0,0,11,4,0,5,0,0,0,0,0,0,9,0,8,3,0,0,0,0
Seq425,1,1,2,1,3,2,2,1,5,5,3,0,1,5,1,1,0,1,5,1,2,2,3,1,2,1,1,3,4,0,2,5,2,1,1,0,0,0,0,0,12,3,0,3,0,2,1,2,1,2,3,2,3,2,3,2,3,2,1,1,4,1,1
Seq426,1,2,2,2,1,2,2,1,5,5,3,0,1,5,1,1,0,1,5,1,2,2,1,2,2,2,1,3,4,0,2,5,2,1,1,0,0,0,0,0,10,4,0,4,0,2,1,2,1,2,2,1,3,4,3,3,2,2,1,2,3,1,1
Seq427,4,2,3,2,3,5,3,5,2,2,5,2,4,7,2,3,2,1,2,5,3,4,2,3,4,2,4,1,2,2,3,12,3,1,4,1,0,3,0,2,20,2,1,1,0,4,4,2,3,1,5,4,3,3,5,3,4,3,4,2,4,2,2
Seq428,4,3,6,4,4,3,5,4,3,5,6,1,5,6,4,2,3,4,3,4,5,3,4,4,6,3,4,3,7,1,6,6,4,2,3,4,1,5,1,5,21,1,1,1,0,6,8,3,8,2,2,3,2,2,11,8,2,9,4,0,1,1,0
Seq429,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,2,0,2,0,2,4,0,0,0,0,3,0,2,0,0,0,3,0,0,3,1,0,1,0,1,1,1,0
Seq430,1,2,2,3,2,1,1,1,5,6,3,0,1,4,1,1,0,1,5,1,1,1,2,3,2,2,1,4,4,0,2,4,2,1,1,0,0,0,0,0,10,4,0,4,0,2,1,1,1,2,3,1,3,4,3,2,2,2,1,2,3,2,1
Seq431,1,2,2,2,1,2,2,1,5,5,3,0,1,5,1,1,0,1,5,1,2,2,1,2,2,2,1,3,4,0,2,5,2,1,1,0,0,0,0,0,10,4,0,4,0,2,1,2,1,2,3,2,3,2,3,2,3,3,1,1,3,2,0
Seq432,3,2,7,5,3,3,5,5,1,4,7,2,9,6,1,0,4,1,1,5,5,3,3,4,7,2,4,2,7,2,9,8,1,0,4,1,0,3,1,3,16,5,1,4,1,12,2,4,1,0,4,5,3,3,6,8,3,9,3,0,2,2,1
Seq433,6,6,5,6,3,1,4,2,1,5,4,2,4,5,5,3,4,2,1,1,5,1,3,5,5,6,7,5,4,2,4,5,5,3,4,2,1,4,1,5,14,3,0,5,1,10,1,6,2,2,1,4,3,5,2,6,1,6,6,5,1,4,3
Seq434,1,1,1,1,1,4,1,4,5,1,4,1,4,5,1,1,1,1,5,4,1,4,1,1,1,1,1,0,4,1,4,6,1,1,1,1,1,2,0,2,14,0,0,0,0,2,3,3,5,0,1,2,2,1,10,1,2,1,1,1,2,1,0
Seq435,1,0,3,1,0,2,3,2,5,1,2,3,2,1,2,2,2,1,5,2,3,2,0,1,3,0,1,1,2,3,2,2,2,2,2,1,0,0,1,2,9,2,0,3,0,1,1,1,3,5,2,0,4,0,5,3,2,3,1,0,2,1,0
Seq436,0,2,1,2,2,4,1,5,4,1,2,1,2,2,3,2,3,5,4,2,4,2,1,1,3,2,2,1,2,1,2,2,3,2,3,5,0,3,0,3,15,0,0,0,0,3,4,1,4,5,2,1,1,0,6,2,4,2,0,1,4,1,1
Seq437,3,2,5,1,1,2,7,1,2,0,5,0,5,4,4,1,4,0,2,0,8,2,0,1,5,3,3,0,5,0,5,5,4,1,4,0,0,3,0,3,9,5,0,4,0,5,3,3,3,2,2,3,1,2,3,8,1,6,3,1,2,0,0
Seq438,6,5,5,4,0,4,7,2,1,2,7,2,6,6,4,3,3,1,1,2,7,4,0,4,5,5,6,1,7,2,6,7,4,3,3,1,1,4,1,5,10,6,0,6,1,10,1,6,3,1,2,4,4,3,3,8,1,6,6,4,3,3,0
Seq439,6,5,6,6,0,2,5,3,1,2,6,2,4,6,5,3,4,2,1,2,6,2,0,5,6,5,7,2,6,2,4,6,5,3,4,2,1,4,1,5,12,4,0,6,1,10,1,5,3,1,2,4,4,4,2,7,2,7,6,4,2,4,0
Seq440,6,6,5,6,0,2,5,3,1,2,5,2,5,6,5,3,4,2,1,2,6,2,0,5,5,6,7,2,5,2,5,6,5,3,4,2,1,4,1,5,13,4,0,5,1,10,1,6,3,1,2,4,3,4,2,7,2,6,6,5,2,4,0
Seq441,6,6,5,6,2,1,5,2,1,4,4,2,4,6,5,3,4,2,1,1,6,1,2,5,5,6,7,4,4,2,4,6,5,3,4,2,1,4,1,5,13,4,0,5,1,10,1,6,3,1,1,4,3,5,2,7,1,6,6,5,1,4,2
Seq442,0,1,0,1,6,5,0,4,4,2,2,4,2,1,3,3,3,1,4,3,2,4,2,2,2,2,0,1,2,3,2,2,4,2,4,1,0,0,0,0,21,0,0,0,0,5,1,3,2,4,1,2,3,0,5,0,6,1,0,0,5,1,3
Seq443,2,1,1,1,2,2,1,2,6,2,2,1,2,0,4,1,4,2,6,2,1,2,2,1,1,1,2,2,2,1,2,0,4,1,4,2,0,1,0,1,16,0,0,0,0,1,0,1,1,7,3,0,4,1,7,1,3,2,2,0,1,1,1
Seq444,1,2,2,1,1,2,3,2,3,1,0,2,1,1,3,2,4,2,4,2,3,1,1,1,3,1,1,0,1,1,1,1,5,2,4,2,1,4,0,4,8,0,0,0,0,6,2,1,2,3,1,1,1,0,4,4,1,2,1,2,2,0,1
Seq445,1,3,3,2,2,4,3,4,1,4,4,0,5,4,3,0,3,0,1,3,4,4,2,1,3,3,2,4,4,0,5,4,3,0,3,0,0,1,1,2,12,3,0,4,0,6,3,2,4,3,1,1,2,1,3,3,5,5,1,1,3,2,0
Seq446,3,2,5,2,0,1,5,1,0,0,2,3,5,4,1,0,4,0,0,1,5,1,0,2,5,2,3,0,2,3,5,4,1,0,4,0,0,4,0,2,6,3,2,1,1,6,2,3,1,0,1,3,1,2,1,5,1,5,3,2,0,2,0
Seq447,1,0,3,2,2,0,2,1,2,3,3,0,2,3,1,0,1,0,2,1,2,0,2,2,3,0,1,3,3,0,2,3,1,0,1,0,0,1,0,0,6,3,1,2,0,1,2,1,2,2,2,1,2,0,4,3,1,3,1,0,0,1,0
Seq448,1,0,1,0,0,1,1,1,3,0,0,1,1,1,2,0,3,0,3,1,1,1,0,0,1,0,1,0,0,1,1,1,2,0,3,0,0,1,0,1,6,0,0,0,0,1,1,2,2,0,0,1,1,0,5,1,0,1,1,0,0,0,0
Seq449,3,3,7,4,3,3,5,5,1,4,7,2,10,6,1,0,4,0,1,5,5,3,3,4,7,3,3,2,7,2,10,8,1,0,4,0,0,3,1,2,16,5,1,5,1,11,2,5,1,0,4,5,3,3,6,8,3,9,3,1,2,1,1
Seq450,1,0,4,1,2,1,4,1,5,3,1,3,1,3,2,2,2,1,5,1,4,1,2,1,4,0,1,3,1,3,1,4,2,2,2,1,0,0,1,2,9,3,0,4,0,1,1,2,4,3,1,0,4,3,5,4,2,4,1,0,2,1,0
Seq451,1,1,4,1,0,1,4,1,5,1,1,3,1,3,2,3,2,1,5,1,4,1,0,1,4,1,1,1,1,3,1,4,2,3,2,1,0,1,1,2,7,3,0,4,0,1,2,2,4,3,1,0,4,1,5,4,1,4,1,1,1,1,0
Seq452,1,0,4,1,0,1,4,1,5,0,0,3,2,1,2,0,5,3,5,1,4,1,0,1,4,0,1,0,0,3,2,2,2,0,5,3,0,4,0,3,7,2,1,0,0,0,4,2,5,3,0,2,1,0,5,4,1,4,1,0,1,1,0
Seq453,10,1,1,2,0,0,1,0,0,0,0,2,1,0,3,0,4,5,0,0,1,0,0,2,1,1,10,0,0,2,1,0,3,0,4,5,3,4,1,5,1,0,1,0,0,10,1,1,2,0,0,1,0,0,0,2,0,2,10,0,0,1,0
Seq454,2,0,3,3,5,2,0,4,3,3,1,5,2,3,1,3,3,1,3,5,0,3,3,3,3,0,2,2,2,4,2,3,2,3,3,1,0,1,2,3,14,0,0,2,0,9,6,1,5,0,0,1,0,0,9,2,3,3,2,0,2,1,0
Seq455,1,1,2,1,0,2,1,2,1,0,1,2,2,3,0,1,1,1,1,2,1,2,0,1,2,1,1,0,1,1,1,4,1,1,1,1,0,1,0,0,8,1,0,1,0,3,1,0,0,0,3,1,2,1,0,1,3,3,1,0,1,1,1
Seq456,6,0,5,0,0,1,5,0,2,0,1,1,0,2,6,1,6,2,2,0,5,1,0,0,5,0,6,0,1,1,0,2,6,1,6,2,1,2,3,5,5,0,0,3,0,5,4,2,5,0,0,1,2,0,3,5,0,5,6,0,0,0,0
Seq457,8,3,7,5,0,0,5,3,5,1,2,4,4,6,6,3,7,3,5,3,5,0,0,5,7,3,8,1,2,3,3,7,7,3,7,3,2,6,3,8,10,2,1,4,0,10,6,5,5,1,2,5,1,1,7,7,1,7,8,3,0,3,0
Seq458,0,0,3,2,7,5,1,6,4,5,4,4,2,3,3,5,2,0,4,6,2,6,5,1,3,0,1,5,4,4,2,3,3,5,2,0,0,1,0,1,24,1,0,1,0,2,4,0,3,3,7,1,6,2,12,2,5,3,0,0,4,1,1
Seq459,3,0,0,1,0,0,0,1,4,0,0,0,0,1,1,0,1,6,5,0,1,0,0,0,0,0,3,0,0,0,0,1,1,0,1,6,3,0,0,1,5,0,0,0,0,3,0,0,1,5,0,0,0,0,4,0,1,0,3,0,0,1,0
Seq460,1,2,2,2,1,3,2,2,3,5,3,1,2,5,0,1,0,0,3,2,2,3,1,2,2,2,1,3,5,0,3,5,1,1,0,0,0,0,0,0,10,4,0,4,0,2,1,1,1,2,3,1,3,4,5,2,1,2,1,2,2,2,1
Seq461,1,0,4,1,0,1,4,1,5,1,1,3,1,3,2,2,2,1,5,1,4,1,0,1,4,0,1,1,1,3,1,4,2,2,2,1,0,0,1,2,7,3,0,4,0,1,2,2,4,2,1,1,3,1,5,4,1,4,1,0,1,1,0
Seq462,1,0,4,1,0,1,4,1,5,1,1,3,1,3,2,2,2,1,5,1,4,1,0,1,4,0,1,1,1,3,1,4,2,2,2,1,0,0,1,2,7,3,0,4,0,1,3,2,5,0,1,1,3,1,5,4,1,4,1,0,1,1,0
Seq463,1,0,4,1,0,1,4,1,5,1,1,3,1,3,2,2,2,1,5,1,4,1,0,1,4,0,1,1,1,3,1,4,2,2,2,1,0,0,1,2,7,3,0,4,0,1,1,2,4,3,1,0,4,1,5,4,1,4,1,0,1,1,0
Seq464,1,2,1,1,2,3,2,1,5,5,3,0,1,5,1,1,0,1,5,1,2,3,2,1,1,2,1,3,4,0,2,5,2,1,1,0,0,0,0,0,12,3,0,3,0,2,2,1,2,2,2,1,2,4,4,2,2,1,1,2,4,1,1
Seq465,13,2,4,1,4,2,4,2,3,2,3,1,2,18,3,3,2,1,3,2,5,2,2,1,5,2,13,2,3,1,2,18,3,3,2,1,0,2,1,0,18,6,2,5,1,11,4,6,3,1,2,6,1,1,4,4,2,4,13,2,2,1,3
Seq466,0,2,1,2,1,4,1,4,4,1,3,3,3,1,3,3,2,0,4,4,1,4,1,2,1,2,0,0,2,1,1,5,5,2,3,0,0,1,0,1,13,2,0,2,0,2,3,2,1,2,3,3,2,1,6,2,2,2,0,1,2,1,3
Seq467,0,3,9,2,0,0,10,0,0,0,0,2,0,0,2,3,2,15,0,0,10,0,0,2,9,3,0,0,0,2,0,0,2,3,2,15,0,12,0,12,0,0,0,0,0,7,8,0,9,0,0,0,0,0,0,12,0,12,0,0,0,0,0
Seq468,11,2,1,1,3,2,3,1,3,1,3,0,1,16,3,2,1,0,3,1,4,2,1,1,2,2,11,1,3,0,1,16,3,2,1,0,0,1,0,0,16,5,1,3,1,9,2,4,2,1,2,5,1,1,3,3,1,1,11,2,2,1,3
Seq469,3,2,3,2,0,1,3,0,9,0,2,1,1,3,6,1,5,4,9,0,3,1,0,2,3,2,3,0,2,1,1,3,6,1,5,4,1,4,0,4,12,1,0,1,0,6,4,2,4,3,0,3,0,1,8,3,1,2,3,3,1,2,0
Seq470,1,2,2,1,1,2,2,1,5,4,3,0,1,5,1,1,0,1,5,1,2,2,1,1,2,2,1,2,4,0,2,5,2,1,1,0,0,0,0,0,10,3,0,4,0,2,1,1,1,2,2,1,3,4,3,2,2,2,1,2,3,1,1
Seq471,1,0,4,1,0,1,4,1,5,1,1,3,1,3,2,2,2,1,5,1,4,1,0,1,4,0,1,1,1,3,1,4,2,2,2,1,0,0,1,2,7,3,0,4,0,1,2,2,5,1,1,0,4,1,5,4,1,4,1,0,1,1,0
Seq472,1,0,4,1,0,1,4,1,5,1,1,3,1,3,2,2,2,1,5,1,4,1,0,1,4,0,1,1,1,3,1,4,2,2,2,1,0,0,1,2,7,3,0,4,0,3,0,2,3,3,1,0,4,1,5,4,1,4,1,0,1,1,0
Seq473,1,0,4,1,0,1,4,1,5,1,1,3,1,3,2,2,2,1,5,1,4,1,0,1,4,0,1,1,1,3,1,4,2,2,2,1,0,0,1,2,7,3,0,4,0,3,2,2,4,0,1,1,3,1,5,4,1,4,1,0,1,1,0
Seq474,5,0,1,0,4,5,2,4,4,4,4,1,4,4,2,0,3,3,4,4,2,5,4,0,1,0,5,3,4,1,4,5,2,0,3,3,3,2,0,2,18,0,0,0,0,7,4,1,3,2,3,3,2,0,10,2,3,1,5,0,3,0,1
Seq475,7,1,6,2,0,1,6,2,1,0,2,3,5,12,1,0,3,0,1,2,6,1,0,2,6,1,7,0,2,3,5,12,1,0,3,0,0,2,1,3,9,5,1,5,0,7,3,5,2,0,2,7,0,0,3,8,0,6,7,1,1,0,0
Seq476,7,2,3,3,5,2,2,3,0,5,4,0,4,7,3,1,3,0,0,3,3,2,5,2,3,2,7,5,4,0,4,7,3,1,3,0,0,2,0,2,19,2,0,2,0,4,5,3,4,2,3,5,1,0,2,3,2,4,7,1,2,2,4
Seq477,1,2,0,1,1,2,2,1,4,4,2,0,1,3,1,1,0,1,4,1,2,2,1,1,0,2,1,2,3,0,2,3,2,1,1,0,0,0,0,0,8,3,0,3,0,2,1,1,1,1,2,1,1,4,2,2,2,0,1,2,3,1,1
Seq478,0,0,0,0,1,2,0,2,3,0,0,1,1,0,2,0,3,1,3,1,1,1,0,0,1,0,1,0,0,1,1,0,2,0,3,1,0,0,0,0,8,0,0,0,0,3,1,1,2,0,0,0,1,0,5,0,1,0,0,0,1,0,1
Seq479,4,3,6,5,3,3,4,4,2,5,7,2,8,8,1,0,3,0,2,4,4,3,3,5,6,3,4,4,6,2,8,10,1,0,3,0,0,2,1,2,17,5,1,5,1,11,2,4,2,0,3,5,3,4,6,7,2,8,4,1,2,2,2
Seq480,5,0,5,0,0,1,5,0,3,0,1,1,0,4,5,1,5,2,3,0,5,1,0,0,5,0,5,0,1,1,0,4,5,1,5,2,1,3,2,5,6,0,0,2,0,4,4,2,5,1,0,1,2,0,4,5,0,5,5,0,0,0,0
Seq481,5,1,5,1,1,2,5,1,1,1,2,2,3,10,1,0,3,0,1,1,5,2,1,1,5,1,5,1,2,2,3,10,1,0,3,0,0,2,1,2,12,2,1,2,0,4,2,3,2,1,3,4,3,0,3,6,1,6,5,0,1,0,0
Seq482,0,0,0,0,3,4,1,4,4,3,3,1,3,3,1,1,0,1,4,4,1,4,3,0,0,0,0,2,3,1,3,4,1,1,0,1,0,0,0,1,15,0,0,0,0,0,5,0,1,0,4,4,0,2,10,1,2,0,0,0,2,0,1
Seq483,2,3,4,5,0,0,2,3,2,1,2,3,3,4,1,2,2,3,3,2,2,0,0,5,4,3,2,1,2,3,3,4,1,2,2,3,1,4,0,3,5,4,1,3,0,8,3,2,2,1,1,3,0,1,3,5,2,6,2,1,0,2,0
Seq484,6,6,4,4,0,4,7,2,1,2,7,2,6,8,3,3,2,1,1,2,7,4,0,4,4,6,6,1,7,2,6,9,3,3,2,1,1,3,1,4,13,5,0,6,1,8,1,6,3,1,2,4,4,5,3,8,1,5,6,5,3,3,0
Seq485,6,6,5,4,0,3,7,2,1,3,6,2,6,6,4,3,3,1,1,2,7,3,0,4,5,6,6,2,6,2,6,7,4,3,3,1,1,4,1,5,9,6,0,7,1,10,1,6,3,1,2,4,3,4,3,8,1,6,6,5,2,3,0
Seq486,6,6,5,6,1,2,5,2,1,3,5,2,4,6,5,3,4,2,1,1,6,2,1,5,5,6,7,3,5,2,4,6,5,3,4,2,1,4,1,5,13,4,0,5,1,10,1,6,3,1,1,4,3,5,2,7,1,6,6,5,2,4,1
Seq487,0,0,1,1,1,2,0,3,0,1,1,1,1,0,1,0,1,0,2,2,0,1,1,1,1,0,0,1,1,1,2,0,1,0,2,0,0,1,0,1,6,0,0,0,0,1,2,0,2,3,0,0,0,0,0,0,3,1,0,0,2,1,1
Seq488,3,2,2,2,1,3,2,3,4,3,2,2,3,8,0,1,1,1,4,3,2,3,1,2,2,2,3,2,3,2,4,8,0,1,1,1,1,1,1,1,12,3,1,2,0,9,3,1,2,1,2,2,1,1,6,3,2,2,3,2,3,1,0
Seq489,1,2,1,1,1,4,2,3,4,1,2,3,4,1,2,1,3,0,4,3,2,4,1,1,1,2,1,0,1,1,2,7,4,0,4,0,0,1,0,1,13,2,0,2,0,2,4,1,1,3,3,3,1,1,6,2,2,2,1,1,2,1,2
Seq490,13,1,4,0,3,2,5,1,4,1,2,1,0,16,5,3,4,1,4,1,6,2,1,0,5,1,13,1,2,1,0,16,5,3,4,1,0,1,1,0,17,6,2,5,1,10,5,3,4,1,3,5,1,1,3,4,2,4,13,1,2,1,3
Seq491,3,1,3,3,5,3,1,4,3,3,2,5,3,3,2,3,4,1,3,5,1,4,3,3,3,1,3,2,3,4,3,3,3,3,4,1,0,2,2,4,16,0,0,2,0,10,6,2,6,0,0,1,1,0,10,3,3,4,3,0,2,1,0
Seq492,1,0,3,1,0,1,3,1,5,1,1,2,1,3,2,2,2,0,5,1,3,1,0,1,3,0,1,1,1,2,1,4,2,2,2,0,0,0,1,1,7,3,0,3,0,1,1,2,3,3,1,0,3,1,5,3,1,3,1,0,1,1,0
Seq493,4,0,4,0,0,1,4,0,3,0,0,2,0,4,3,1,4,2,3,0,4,1,0,0,4,0,4,0,0,2,0,4,3,1,4,2,1,3,1,4,6,0,0,1,0,3,3,2,4,1,0,1,2,0,4,4,0,4,4,0,0,0,0
Seq494,7,2,3,6,3,0,0,4,1,3,0,6,4,0,0,2,4,7,1,4,0,0,3,6,3,2,7,3,0,6,4,0,0,2,4,7,7,5,0,6,8,0,0,0,0,21,2,0,3,0,0,0,0,0,8,6,0,5,7,0,0,0,0
Seq495,1,2,0,0,1,5,2,3,5,2,3,1,3,1,3,1,2,1,5,3,2,5,1,0,0,2,1,0,2,0,2,7,4,0,3,1,0,1,0,1,15,1,0,1,0,2,1,1,0,5,4,1,4,1,6,2,3,1,1,1,4,0,1
Seq496,5,0,5,0,0,1,5,0,3,0,1,1,0,4,5,1,5,2,3,0,5,1,0,0,5,0,5,0,1,1,0,4,5,1,5,2,1,4,1,5,7,0,0,1,0,4,4,2,5,1,0,1,2,0,4,5,0,5,5,0,0,0,0
Seq497,0,1,1,0,1,1,3,0,3,1,2,0,1,2,2,1,1,0,3,0,3,1,1,0,1,1,0,0,2,0,1,3,2,1,1,0,0,0,0,1,7,1,0,1,0,2,1,1,2,0,1,0,2,1,3,2,0,1,0,1,1,1,1
Seq498,1,0,4,1,0,1,4,1,5,0,0,2,1,1,3,0,4,5,5,1,4,1,0,1,4,0,1,0,0,2,1,2,3,0,4,5,1,4,0,5,7,0,0,0,0,2,4,1,5,3,0,1,1,0,5,4,1,4,1,0,1,1,0
Seq499,1,1,2,0,1,3,3,1,2,1,2,1,1,6,1,1,1,0,2,1,3,3,1,0,2,1,1,1,2,1,1,6,1,1,1,0,0,1,0,1,10,1,0,1,0,4,2,1,4,2,0,0,1,0,6,3,0,3,1,0,1,0,0
Seq500,5,0,1,0,3,3,1,3,3,3,2,1,3,3,1,0,3,3,3,3,1,3,3,0,1,0,5,2,2,1,3,4,1,0,3,3,3,2,0,1,13,0,0,0,0,6,3,1,2,2,2,2,1,0,5,1,3,1,5,0,3,0,1
